Production_budget,Worldwide_gross
25000000,123696741
13000000,123922370
70000000,123954323
48000000,124304264
60000000,124514011
60000000,124715863
40000000,124823094
40000000,124827316
3000000,124900000
100000000,124968126
5000000,125010260
50000000,125168734
10500000,125169
14000000,125212904
17000000,125250091
25000000,125339088
40000000,125729635
37500000,125818440
60000000,126037057
40000000,126069509
35000000,126204977
10000000,126247
400000,126387
55000000,126425115
32000000,126539117
28000000,126549607
38000000,126577874
100000000,126704591
50200000,126931325
8000000,127188
40000000,127234389
75000000,127361412
62000000,127630030
28000000,127710550
22000000,127767889
110000000,127983283
45000000,127990741
16000000,128256712
50000000,128402901
65000000,128468793
25000000,128745578
40000000,128792135
65000000,128874043
40000000,128884494
15000000,128885873
15000000,128955898
55000000,129075270
25000000,129115
11000000,129262388
1600000,129319
30000000,129779728
6000000,129795554
60000000,129832389
3000000,13000000
4000000,13000774
3500000,13007551
25000000,13008804
23000000,13019253
14000000,13024170
25000000,13038660
36000000,13052741
9000000,13061935
9000000,13075390
45000000,13086137
5000000,13099931
38000000,13119947
2000000,13129846
500000,13134
6000000,13168809
27000000,13174426
3000000,13200000
18000000,13203044
14000000,13205411
35000000,13214051
60000000,13233220
15000000,13248444
40000000,13289290
15000000,13300181
25000000,13314562
15000000,13316627
11000000,13353855
20000000,13383747
18000000,13400000
4500000,13417292
25000000,13424365
17000000,13446115
3700000,13447998
15000000,13454474
1300000,13465
5500000,13480196
450000,13486
40000000,13508635
7500000,13524
22000000,13555988
11000000,13558739
23000000,13593473
70000000,13596911
35000000,13601109
16500000,13636339
19000000,13680000
10000000,13684949
18500000,13711903
11000000,13719474
6000000,13722
20000000,13725032
26000000,13738574
18000000,13747234
15600000,13771817
3500000,13795053
14000000,13800000
20000000,13801755
10000000,13835130
16000000,13854000
7000000,13860078
2500000,13881317
2000000,13912289
25000000,13973532
50000000,130214162
54000000,130402010
102000000,130673154
18000000,130724541
27000000,130759651
80000000,130818912
60000000,130968579
7000000,130972437
70000000,131011757
42000000,131052444
80000000,131159306
53000000,131159781
45000000,131237688
22500000,131263370
65000000,131353165
60000000,131377412
70000000,131445884
40000000,131457147
75000000,131492772
40000000,131516178
20000000,131944672
20000000,132121212
40000000,132440066
61000000,132493015
113500000,132999811
24000000,133000000
30000000,133085295
28000000,133162752
3400000,133276359
40000000,133365452
103000000,133401882
3000000,133411
63700000,133603463
17000000,133735284
109000000,133818283
30000000,133892212
30000000,133946923
52500000,134612435
2000000,134624
10000000,134639780
16500000,134993774
60000000,135015330
80000000,135432019
26000000,135436
50000000,135569212
10000000,135759694
45000000,135808837
80000000,136047317
40000000,136123083
55000000,136143605
30000000,136706683
17000000,136890774
45000000,136998907
70000000,137022245
40000000,137047376
13000000,137054597
85000000,137298489
70000000,137431619
67500000,137489730
60000000,137551594
65000000,137768975
6000000,137978395
25000000,137984788
42000000,138708527
10000,138711
140000000,138836756
35000000,139000000
1500000,139084
28000000,139109346
1900000,139317
40000000,139474906
175000000,139630336
14000000,139700000
100000000,139716717
53000000,139801096
65000000,139829625
90000000,139877913
20000000,139924202
170000,14000
3500000,14000000
12000000,14010363
9500000,14114000
14000000,14121177
16000000,14125516
10500000,14140402
10000000,14156753
18000000,14189810
7000000,14231669
4000000,14237880
15000000,14249005
1600000,14253760
6250000,14261269
50000000,14271297
34000000,14291999
70000000,14294842
1500000,14296709
22000000,14307223
3200000,14314407
6537890,14319195
10000000,14321070
25000000,14334401
5000000,14343976
2000000,14348020
40000000,14358033
20000000,14365639
40000000,14375181
36000000,14378353
14000000,14395874
4000000,14400000
2500000,14400000
13000000,14403703
3200000,14441158
9000000,14443
40000000,14448589
35000000,14471440
18000000,14488705
26000000,14494770
17700000,14518884
1500000,14533681
17000000,14534046
6000000,14545844
16000000,14553807
20000000,14566246
1000000,14575148
20000000,14603001
12000000,14616
7000000,14618727
75000000,14623082
2300000,14628921
1000000,14662703
5600000,14683763
9100000,14709816
20000000,14772346
11000000,14786394
16000000,14792779
25000000,14805812
20000000,14807531
15000000,14811980
640000,14812
60000000,14816379
60000000,14816494
16000000,14839383
5000000,14843425
3800000,14873
13000000,14929184
15000000,14933713
40000000,14938149
40000000,14942422
47000000,14970038
777000,140000000
200000,140016
32000000,140428499
35000000,140783360
28000000,140886353
28000000,140894685
90000000,140900000
35000000,141123897
45000000,141189101
9000000,141200000
65000000,141205169
23000000,141247413
75000000,141267370
19000000,141344255
80000000,141475336
40000000,141484812
84000000,141507355
3000000,141600000
18000000,141809235
25000000,142033509
30000000,142051255
120000000,142531552
150000000,142634358
80000000,142783718
5000000,142817992
90000000,143049560
5000000,143273
5000000,143658
